town,date,precip_mm,grid_lat,grid_lon
kepahiang,2005-04-10,0.144,-3.75,102.75
pagar_alam,2005-04-11,0.0,-4.25,103.25
lahat,2005-04-11,0.0,-3.75,103.75
muaradua,2005-04-11,0.0,-4.75,104.25
liwa,2005-04-11,0.0,-5.25,104.25
kepahiang,2005-04-11,0.0,-3.75,102.75
pagar_alam,2005-04-12,2.86,-4.25,103.25
lahat,2005-04-12,1.851,-3.75,103.75
muaradua,2005-04-12,0.468,-4.75,104.25
liwa,2005-04-12,0.296,-5.25,104.25
kepahiang,2005-04-12,3.085,-3.75,102.75
pagar_alam,2005-04-13,0.376,-4.25,103.25
lahat,2005-04-13,0.457,-3.75,103.75
muaradua,2005-04-13,1.604,-4.75,104.25
liwa,2005-04-13,1.956,-5.25,104.25
kepahiang,2005-04-13,0.041,-3.75,102.75
pagar_alam,2005-04-14,0.106,-4.25,103.25
lahat,2005-04-14,2.403,-3.75,103.75
muaradua,2005-04-14,0.321,-4.75,104.25
liwa,2005-04-14,0.201,-5.25,104.25
kepahiang,2005-04-14,0.061,-3.75,102.75
pagar_alam,2005-04-15,0.044,-4.25,103.25
lahat,2005-04-15,0.06,-3.75,103.75
muaradua,2005-04-15,0.027,-4.75,104.25
liwa,2005-04-15,0.0,-5.25,104.25
kepahiang,2005-04-15,0.021,-3.75,102.75
pagar_alam,2005-04-16,0.503,-4.25,103.25
lahat,2005-04-16,4.143,-3.75,103.75
muaradua,2005-04-16,1.679,-4.75,104.25
liwa,2005-04-16,1.081,-5.25,104.25
kepahiang,2005-04-16,0.057,-3.75,102.75
pagar_alam,2005-04-17,0.0,-4.25,103.25
lahat,2005-04-17,0.0,-3.75,103.75
muaradua,2005-04-17,0.0,-4.75,104.25
liwa,2005-04-17,0.0,-5.25,104.25
kepahiang,2005-04-17,0.0,-3.75,102.75
pagar_alam,2005-04-18,39.817,-4.25,103.25
lahat,2005-04-18,28.294,-3.75,103.75
muaradua,2005-04-18,6.12,-4.75,104.25
liwa,2005-04-18,2.297,-5.25,104.25
kepahiang,2005-04-18,42.746,-3.75,102.75
pagar_alam,2005-04-19,0.755,-4.25,103.25
lahat,2005-04-19,6.368,-3.75,103.75
muaradua,2005-04-19,3.694,-4.75,104.25
liwa,2005-04-19,2.949,-5.25,104.25
kepahiang,2005-04-19,0.093,-3.75,102.75
pagar_alam,2005-04-20,3.746,-4.25,103.25
lahat,2005-04-20,2.672,-3.75,103.75
muaradua,2005-04-20,0.452,-4.75,104.25
liwa,2005-04-20,0.336,-5.25,104.25
kepahiang,2005-04-20,4.162,-3.75,102.75
