key,year,month,rain_mm,n_days
el_paraiso_danli,2023,9,85.1,30
el_paraiso_danli,2023,10,295.1,31
el_paraiso_danli,2023,11,262.1,30
el_paraiso_danli,2023,12,38.2,31
el_paraiso_danli,2024,1,15.9,31
el_paraiso_danli,2024,2,2.5,29
el_paraiso_danli,2024,3,12.6,31
el_paraiso_danli,2024,4,15.8,30
el_paraiso_danli,2024,5,30.4,31
el_paraiso_danli,2024,6,434.1,30
el_paraiso_danli,2024,7,187.7,31
el_paraiso_danli,2024,8,129.3,31
el_paraiso_danli,2024,9,322.7,30
el_paraiso_danli,2024,10,177.1,31
el_paraiso_danli,2024,11,168.0,30
el_paraiso_danli,2024,12,71.2,31
el_paraiso_danli,2025,1,41.7,31
el_paraiso_danli,2025,2,29.6,28
el_paraiso_danli,2025,3,10.5,31
el_paraiso_danli,2025,4,35.8,30
el_paraiso_danli,2025,5,66.2,31
el_paraiso_danli,2025,6,294.0,30
el_paraiso_danli,2025,7,90.3,31
el_paraiso_danli,2025,8,76.0,31
el_paraiso_danli,2025,9,139.0,30
el_paraiso_danli,2025,10,265.5,31
el_paraiso_danli,2025,11,82.7,30
el_paraiso_danli,2025,12,43.1,31
el_paraiso_danli,2026,1,22.3,31
el_paraiso_danli,2026,2,3.1,28
el_paraiso_danli,2026,3,23.7,31
el_paraiso_danli,2026,4,25.6,30
el_paraiso_danli,2026,5,68.3,31
el_paraiso_danli,2026,6,123.6,30
el_paraiso_danli,2026,7,156.3,31
el_paraiso_danli,2026,8,47.3,31
el_paraiso_danli,2026,9,27.9,18
