town,date,tmax_c,grid_lat,grid_lon
copan,2005-06-11,29.314,14.75,271.25
comayagua,2005-06-12,27.956,14.25,272.25
ocotepeque,2005-06-12,29.676,14.25,270.75
copan,2005-06-12,29.651,14.75,271.25
comayagua,2005-06-13,29.029,14.25,272.25
ocotepeque,2005-06-13,30.6,14.25,270.75
copan,2005-06-13,29.854,14.75,271.25
comayagua,2005-06-14,28.117,14.25,272.25
ocotepeque,2005-06-14,28.363,14.25,270.75
copan,2005-06-14,26.637,14.75,271.25
comayagua,2005-06-15,28.419,14.25,272.25
ocotepeque,2005-06-15,29.604,14.25,270.75
copan,2005-06-15,28.79,14.75,271.25
comayagua,2005-06-16,27.564,14.25,272.25
ocotepeque,2005-06-16,28.421,14.25,270.75
copan,2005-06-16,26.192,14.75,271.25
comayagua,2005-06-17,28.063,14.25,272.25
ocotepeque,2005-06-17,29.331,14.25,270.75
copan,2005-06-17,26.358,14.75,271.25
comayagua,2005-06-18,29.776,14.25,272.25
ocotepeque,2005-06-18,29.178,14.25,270.75
copan,2005-06-18,28.272,14.75,271.25
comayagua,2005-06-19,29.896,14.25,272.25
ocotepeque,2005-06-19,28.976,14.25,270.75
copan,2005-06-19,27.005,14.75,271.25
comayagua,2005-06-20,29.928,14.25,272.25
ocotepeque,2005-06-20,28.868,14.25,270.75
copan,2005-06-20,27.117,14.75,271.25
comayagua,2005-06-21,28.429,14.25,272.25
ocotepeque,2005-06-21,30.174,14.25,270.75
copan,2005-06-21,26.13,14.75,271.25
comayagua,2005-06-22,28.267,14.25,272.25
ocotepeque,2005-06-22,29.005,14.25,270.75
copan,2005-06-22,26.635,14.75,271.25
comayagua,2005-06-23,26.176,14.25,272.25
ocotepeque,2005-06-23,27.927,14.25,270.75
copan,2005-06-23,24.708,14.75,271.25
comayagua,2005-06-24,24.883,14.25,272.25
ocotepeque,2005-06-24,26.583,14.25,270.75
copan,2005-06-24,24.517,14.75,271.25
comayagua,2005-06-25,27.058,14.25,272.25
ocotepeque,2005-06-25,27.952,14.25,270.75
copan,2005-06-25,24.363,14.75,271.25
comayagua,2005-06-26,28.21,14.25,272.25
ocotepeque,2005-06-26,29.294,14.25,270.75
copan,2005-06-26,27.287,14.75,271.25
comayagua,2005-06-27,27.781,14.25,272.25
ocotepeque,2005-06-27,27.677,14.25,270.75
copan,2005-06-27,25.981,14.75,271.25
comayagua,2005-06-28,28.424,14.25,272.25
ocotepeque,2005-06-28,29.628,14.25,270.75
copan,2005-06-28,26.917,14.75,271.25
comayagua,2005-06-29,27.115,14.25,272.25
ocotepeque,2005-06-29,29.634,14.25,270.75
copan,2005-06-29,26.837,14.75,271.25
comayagua,2005-06-30,28.797,14.25,272.25
ocotepeque,2005-06-30,28.737,14.25,270.75
copan,2005-06-30,27.233,14.75,271.25
comayagua,2005-07-01,27.837,14.25,272.25
ocotepeque,2005-07-01,29.444,14.25,270.75
copan,2005-07-01,27.447,14.75,271.25
comayagua,2005-07-02,27.388,14.25,272.25
