town,date,precip_mm,grid_lat,grid_lon
copan,2005-06-26,21.022,14.75,271.25
comayagua,2005-06-27,6.332,14.25,272.25
ocotepeque,2005-06-27,8.96,14.25,270.75
copan,2005-06-27,15.764,14.75,271.25
comayagua,2005-06-28,1.467,14.25,272.25
ocotepeque,2005-06-28,0.992,14.25,270.75
copan,2005-06-28,1.849,14.75,271.25
comayagua,2005-06-29,5.022,14.25,272.25
ocotepeque,2005-06-29,11.958,14.25,270.75
copan,2005-06-29,0.716,14.75,271.25
comayagua,2005-06-30,14.226,14.25,272.25
ocotepeque,2005-06-30,0.117,14.25,270.75
copan,2005-06-30,1.543,14.75,271.25
comayagua,2005-07-01,14.131,14.25,272.25
ocotepeque,2005-07-01,6.624,14.25,270.75
copan,2005-07-01,4.105,14.75,271.25
comayagua,2005-07-02,4.152,14.25,272.25
ocotepeque,2005-07-02,5.516,14.25,270.75
copan,2005-07-02,39.146,14.75,271.25
comayagua,2005-07-03,1.619,14.25,272.25
ocotepeque,2005-07-03,2.889,14.25,270.75
copan,2005-07-03,12.694,14.75,271.25
comayagua,2005-07-04,0.555,14.25,272.25
ocotepeque,2005-07-04,0.191,14.25,270.75
copan,2005-07-04,0.071,14.75,271.25
comayagua,2005-07-05,0.824,14.25,272.25
ocotepeque,2005-07-05,0.0,14.25,270.75
copan,2005-07-05,0.0,14.75,271.25
comayagua,2005-07-06,14.382,14.25,272.25
ocotepeque,2005-07-06,0.038,14.25,270.75
copan,2005-07-06,0.637,14.75,271.25
comayagua,2005-07-07,1.146,14.25,272.25
ocotepeque,2005-07-07,0.159,14.25,270.75
copan,2005-07-07,0.099,14.75,271.25
comayagua,2005-07-08,4.17,14.25,272.25
ocotepeque,2005-07-08,1.092,14.25,270.75
copan,2005-07-08,0.136,14.75,271.25
comayagua,2005-07-09,1.407,14.25,272.25
ocotepeque,2005-07-09,6.849,14.25,270.75
copan,2005-07-09,0.768,14.75,271.25
comayagua,2005-07-10,1.653,14.25,272.25
ocotepeque,2005-07-10,0.55,14.25,270.75
copan,2005-07-10,2.793,14.75,271.25
comayagua,2005-07-11,16.834,14.25,272.25
ocotepeque,2005-07-11,0.193,14.25,270.75
copan,2005-07-11,10.359,14.75,271.25
comayagua,2005-07-12,11.442,14.25,272.25
